Date,Year,MW,Holiday,Temp_avg,Temp_max,Temp_min,hPa,Hum,Visibility,Wind_avg,Wind_max,Rain,Storm,Fog
2017-01-01,2017,1472.0,1,30.3,35.0,27.5,1007.0,62.0,10.0,9.6,20.6,1,1,0
2017-01-02,2017,1779.0,0,25.6,34.0,21.0,1012.6,63.0,10.0,21.7,29.4,0,0,0
2017-01-03,2017,1889.0,0,26.2,28.4,22.0,1005.4,75.0,9.5,17.4,35.2,1,1,0
2017-01-04,2017,1841.0,0,26.2,31.0,22.3,1003.9,70.0,9.5,7.6,14.8,0,0,0
2017-01-05,2017,1771.0,0,25.1,30.8,19.7,1010.2,37.0,10.0,8.0,18.3,0,0,0
2017-01-06,2017,1801.0,0,23.2,29.0,18.9,1016.2,55.0,10.0,20.4,31.7,0,0,0
2017-01-07,2017,1863.0,0,27.8,32.0,20.2,1010.8,65.0,10.0,18.0,29.4,0,0,0
2017-01-08,2017,1541.0,0,25.7,31.9,21.6,1008.1,73.0,8.9,14.6,51.9,1,1,0
2017-01-09,2017,1754.0,0,25.3,29.1,20.0,1003.4,81.0,9.2,11.9,57.6,1,1,0
2017-01-10,2017,1709.0,0,22.0,29.5,18.0,1010.3,60.0,10.0,9.8,16.5,0,0,0
2017-01-11,2017,1788.0,0,25.0,29.2,20.6,1014.0,53.0,10.0,13.9,24.1,0,0,0
2017-01-12,2017,1932.0,0,26.9,31.0,22.0,1012.5,59.0,10.0,11.5,20.6,0,0,0
2017-01-13,2017,1936.0,0,27.3,31.0,24.0,1007.2,64.0,10.0,19.8,37.0,1,0,0
2017-01-14,2017,1744.0,0,23.1,30.0,19.5,1011.3,55.0,10.0,21.5,37.0,0,0,0
2017-01-15,2017,1522.0,0,23.6,27.4,21.0,1008.7,71.0,9.5,20.9,31.7,1,0,0
2017-01-16,2017,1801.0,0,24.1,27.0,20.5,1006.6,84.0,9.0,28.2,38.9,1,0,0
2017-01-17,2017,1953.0,0,26.3,33.0,22.7,1005.3,74.0,10.0,10.7,20.6,0,0,0
2017-01-18,2017,1920.0,0,25.6,33.3,22.0,1009.4,58.0,10.0,17.4,24.1,0,0,0
2017-01-19,2017,2008.0,0,26.7,31.0,23.5,1014.3,68.0,10.0,16.5,27.8,0,0,0
2017-01-20,2017,2084.0,0,27.6,30.5,24.5,1016.8,63.0,10.0,16.1,27.8,0,0,0
2017-01-21,2017,2018.0,0,27.9,31.0,25.0,1016.4,66.0,10.0,15.6,22.2,0,0,0
2017-01-22,2017,1752.0,0,27.4,31.5,24.8,1014.4,67.0,10.0,15.0,33.5,0,0,0
2017-01-23,2017,1934.0,0,26.6,29.0,24.7,1014.2,65.0,10.0,18.9,38.9,0,0,0
2017-01-24,2017,1897.0,0,27.5,32.0,20.0,1008.4,64.0,9.7,14.6,40.7,1,1,0
2017-01-25,2017,1708.0,0,21.6,32.5,18.0,1013.1,58.0,10.0,16.1,20.6,1,0,0
2017-01-26,2017,1682.0,0,19.0,24.0,14.0,1020.5,48.0,10.0,14.3,22.2,0,0,0
2017-01-27,2017,1727.0,0,21.7,24.2,17.5,1020.7,53.0,10.0,10.4,14.8,0,0,0
2017-01-28,2017,1728.0,0,24.7,29.0,20.8,1017.9,54.0,10.0,14.8,24.1,0,0,0
2017-01-29,2017,1697.0,0,26.8,30.2,22.5,1016.0,59.0,10.0,17.4,27.8,0,0,0
2017-01-30,2017,2014.0,0,27.7,32.0,24.5,1013.1,69.0,10.0,16.5,22.2,0,0,0
2017-01-31,2017,2018.0,0,27.3,33.5,24.5,1011.3,72.0,9.5,13.7,25.9,1,0,0
2017-02-01,2017,1766.0,0,25.5,30.0,19.6,1008.1,68.0,9.5,13.1,22.2,1,0,0
2017-02-02,2017,1782.0,0,24.0,30.2,21.0,1008.2,70.0,9.8,13.7,24.1,0,0,0
2017-02-03,2017,1822.0,0,24.7,27.0,21.4,1008.9,65.0,10.0,12.4,20.6,0,0,0
2017-02-04,2017,1684.0,0,25.1,27.4,22.0,1007.5,77.0,9.7,19.1,27.8,1,1,0
2017-02-05,2017,1353.0,0,21.0,23.0,19.0,1001.8,87.0,9.0,14.4,22.2,1,0,0
2017-02-06,2017,1551.0,0,18.1,24.0,14.5,1013.6,63.0,10.0,14.3,24.1,0,0,0
2017-02-07,2017,1629.0,0,21.5,25.0,16.5,1014.7,52.0,10.0,8.1,18.3,0,0,0
2017-02-08,2017,1689.0,0,22.4,25.4,19.9,1014.3,67.0,10.0,17.8,25.9,0,0,0
2017-02-09,2017,1716.0,0,23.7,27.0,21.0,1013.5,70.0,10.0,14.6,24.1,0,0,0
2017-02-10,2017,1801.0,0,24.3,28.0,22.3,1012.6,83.0,8.2,17.4,31.7,1,0,0
2017-02-11,2017,1667.0,0,23.4,28.0,21.0,1012.9,76.0,10.0,21.7,35.2,0,0,0
2017-02-12,2017,1498.0,0,21.9,26.0,21.0,1011.3,88.0,7.9,14.1,24.1,1,0,0
2017-02-13,2017,1699.0,0,21.8,25.0,19.0,1010.0,86.0,8.2,20.4,37.0,1,0,0
2017-02-14,2017,1773.0,0,23.6,26.0,19.3,1009.2,80.0,7.9,9.3,16.5,1,0,0
2017-02-15,2017,1853.0,0,26.1,32.0,21.0,1012.2,65.0,9.7,7.4,18.3,0,0,0
2017-02-16,2017,1920.0,0,26.3,31.8,23.9,1011.8,70.0,10.0,9.4,16.5,0,0,0
2017-02-17,2017,1875.0,0,24.7,30.0,21.7,1007.4,83.0,10.0,13.0,20.6,0,0,0
2017-02-18,2017,1654.0,0,25.7,30.2,21.0,1008.0,72.0,9.7,16.3,37.0,1,1,0
2017-02-19,2017,1589.0,0,25.5,29.0,22.0,1014.1,75.0,10.0,8.3,13.0,0,0,0
2017-02-20,2017,1985.0,0,26.7,30.0,23.5,1015.1,76.0,10.0,11.5,18.3,0,0,0
2017-02-21,2017,2157.0,0,28.1,32.0,23.1,1014.5,78.0,7.7,10.6,33.5,1,1,0
